Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
22.09.2026, 01:34:34;Brahmaparuss;Doswiadczenie;295.465.502 / 295.534.405;295.484.447 / 295.534.405;18945
22.09.2026, 01:34:34;Brahmaparuss;Walki;99.793;99.795;2
22.09.2026, 01:34:34;Brahmaparuss;Zrabowane dobra;380.347.010.770 krwi;380.372.155.440 krwi;25144670
22.09.2026, 01:34:35;Gawron;Doswiadczenie;163.603.202 / 163.654.925;163.608.923 / 163.654.925;5721
22.09.2026, 01:34:37;XTurek;Doswiadczenie;625.514.580 / 625.532.310;625.687.596 / 625.756.030;173016
22.09.2026, 01:34:37;XTurek;Zwinnosc;4024;4025;1
22.09.2026, 01:34:37;XTurek;Zrabowane dobra;1.046.605.083.498 mięsa;1.046.761.398.475 mięsa;156314977
22.09.2026, 01:34:37;Viktor;Walki;52.974;52.976;2
22.09.2026, 03:48:34;Brahmaparuss;Doswiadczenie;295.484.447 / 295.534.405;295.825.290 / 295.842.010;340843
22.09.2026, 03:48:34;Brahmaparuss;Zwinnosc;3669;3670;1
22.09.2026, 03:48:34;Brahmaparuss;Walki;99.795;99.797;2
22.09.2026, 03:48:34;Brahmaparuss;Zrabowane dobra;380.372.155.440 krwi;380.671.560.269 krwi;299404829
22.09.2026, 03:48:36;lux;Doswiadczenie;153.151.272 / 153.186.660;153.156.807 / 153.186.660;5535
22.09.2026, 03:48:37;XTurek;Doswiadczenie;625.687.596 / 625.756.030;626.004.538 / 626.091.690;316942
22.09.2026, 03:48:37;XTurek;Zrabowane dobra;1.046.761.398.475 mięsa;1.047.041.528.522 mięsa;280130047
22.09.2026, 03:48:38;Viktor;Doswiadczenie;160.674.138 / 160.693.470;160.674.141 / 160.693.470;3
22.09.2026, 03:48:38;Viktor;Walki;52.976;52.978;2
22.09.2026, 03:48:39;PEON;Doswiadczenie;197.814.726 / 197.826.790;197.822.265 / 197.826.790;7539
22.09.2026, 03:48:39;PEON;Zrabowane dobra;341.063.788.056 mięsa;341.070.592.812 mięsa;6804756
22.09.2026, 08:51:06;Brahmaparuss;Doswiadczenie;295.825.290 / 295.842.010;295.904.075 / 295.918.935;78785
22.09.2026, 08:51:06;Brahmaparuss;Walki;99.797;99.801;4
22.09.2026, 08:51:06;Brahmaparuss;Zrabowane dobra;380.671.560.269 krwi;380.754.317.486 krwi;82757217
22.09.2026, 08:51:07;Gawron;Doswiadczenie;163.608.923 / 163.654.925;163.894.704 / 163.941.105;285781
22.09.2026, 08:51:07;Gawron;Zwinnosc;2407;2408;1
22.09.2026, 08:51:07;Gawron;Wytrzymalosc;2111;2112;1
22.09.2026, 08:51:07;Gawron;Walki;58.353;58.354;1
22.09.2026, 08:51:07;Gawron;Zrabowane dobra;224.706.911.839 krwi;224.926.767.976 krwi;219856137
22.09.2026, 08:51:07;lux;Doswiadczenie;153.156.807 / 153.186.660;153.452.736 / 153.463.540;295929
22.09.2026, 08:51:07;lux;Zwinnosc;2251;2252;1
22.09.2026, 08:51:07;lux;Charyzma;1980;1981;1
22.09.2026, 08:51:07;lux;Walki;108.920;108.921;1
22.09.2026, 08:51:07;lux;Zrabowane dobra;214.163.118.612 krwi;214.381.930.996 krwi;218812384
22.09.2026, 08:51:08;XTurek;Doswiadczenie;626.004.538 / 626.091.690;626.589.855 / 626.651.320;585317
22.09.2026, 08:51:08;XTurek;Zwinnosc;4025;4026;1
22.09.2026, 08:51:08;XTurek;Zrabowane dobra;1.047.041.528.522 mięsa;1.047.677.816.920 mięsa;636288398
22.09.2026, 08:51:08;Viktor;Doswiadczenie;160.674.141 / 160.693.470;160.674.143 / 160.693.470;2
22.09.2026, 08:51:08;Viktor;Walki;52.978;52.980;2
22.09.2026, 08:51:09;PEON;Doswiadczenie;197.822.265 / 197.826.790;198.141.060 / 198.141.420;318795
22.09.2026, 08:51:09;PEON;Wytrzymalosc;3111;3112;1
22.09.2026, 08:51:09;PEON;Walki;31.170;31.171;1
22.09.2026, 08:51:09;PEON;Zrabowane dobra;341.070.592.812 mięsa;341.329.449.693 mięsa;258856881
