Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
13.08.2026, 00:25:50;Gawron;Doswiadczenie;145.989.662 / 146.021.480;145.995.066 / 146.021.480;5404
13.08.2026, 00:25:54;PEON;Doswiadczenie;167.675.490 / 167.684.195;167.719.650 / 167.742.110;44160
13.08.2026, 00:25:54;PEON;Charyzma;1881;1882;1
13.08.2026, 00:25:54;PEON;Zrabowane dobra;316.033.931.667 mięsa;316.071.650.164 mięsa;37718497
13.08.2026, 01:09:24;Brahmaparuss;Doswiadczenie;256.542.604 / 256.550.005;256.546.521 / 256.550.005;3917
13.08.2026, 01:09:27;XTurek;Doswiadczenie;531.009.941 / 531.078.485;531.218.148 / 531.284.625;208207
13.08.2026, 01:09:27;XTurek;Zrabowane dobra;945.407.131.407 mięsa;945.612.707.988 mięsa;205576581
13.08.2026, 01:55:56;XTurek;Doswiadczenie;531.218.148 / 531.284.625;531.226.420 / 531.284.625;8272
13.08.2026, 01:55:56;XTurek;Zrabowane dobra;945.612.707.988 mięsa;945.618.681.615 mięsa;5973627
13.08.2026, 01:55:57;Viktor;Doswiadczenie;155.401.218 / 155.408.700;155.406.793 / 155.408.700;5575
13.08.2026, 03:47:23;Brahmaparuss;Doswiadczenie;256.546.521 / 256.550.005;256.697.445 / 256.764.945;150924
13.08.2026, 03:47:23;Brahmaparuss;Wytrzymalosc;3336;3337;1
13.08.2026, 03:47:23;Brahmaparuss;Walki;98.481;98.489;8
13.08.2026, 03:47:23;Brahmaparuss;Zrabowane dobra;343.308.126.098 krwi;343.453.884.259 krwi;145758161
13.08.2026, 03:47:24;Gawron;Doswiadczenie;145.995.066 / 146.021.480;145.995.236 / 146.021.480;170
13.08.2026, 03:47:24;Gawron;Walki;57.875;57.876;1
13.08.2026, 03:47:24;Gawron;Zrabowane dobra;208.395.892.987 krwi;208.396.405.881 krwi;512894
13.08.2026, 03:47:25;lux;Doswiadczenie;134.378.167 / 134.426.310;134.383.352 / 134.426.310;5185
13.08.2026, 03:47:25;XTurek;Doswiadczenie;531.226.420 / 531.284.625;531.474.294 / 531.490.810;247874
13.08.2026, 03:47:25;XTurek;Sila;4483;4484;1
13.08.2026, 03:47:25;XTurek;Zrabowane dobra;945.618.681.615 mięsa;945.868.161.013 mięsa;249479398
13.08.2026, 03:47:26;Viktor;Doswiadczenie;155.406.793 / 155.408.700;155.406.796 / 155.408.700;3
13.08.2026, 03:47:26;Viktor;Walki;51.457;51.458;1
13.08.2026, 03:47:27;PEON;Doswiadczenie;167.719.650 / 167.742.110;167.725.442 / 167.742.110;5792
13.08.2026, 05:54:48;Brahmaparuss;Doswiadczenie;256.697.445 / 256.764.945;256.852.461 / 256.908.285;155016
13.08.2026, 05:54:48;Brahmaparuss;Wytrzymalosc;3337;3338;1
13.08.2026, 05:54:48;Brahmaparuss;Walki;98.489;98.490;1
13.08.2026, 05:54:48;Brahmaparuss;Zrabowane dobra;343.453.884.259 krwi;343.592.482.049 krwi;138597790
13.08.2026, 05:54:49;Gawron;Doswiadczenie;145.995.236 / 146.021.480;146.033.309 / 146.075.530;38073
13.08.2026, 05:54:49;Gawron;Zrabowane dobra;208.396.405.881 krwi;208.425.606.862 krwi;29200981
