Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
24.09.2026, 00:10:58;Brahmaparuss;Doswiadczenie;297.545.380 / 297.613.840;297.641.061 / 297.690.995;95681
24.09.2026, 00:10:58;Brahmaparuss;Zwinnosc;3678;3680;2
24.09.2026, 00:10:58;Brahmaparuss;Walki;99.838;99.842;4
24.09.2026, 00:10:58;Brahmaparuss;Zrabowane dobra;382.378.490.039 krwi;382.490.175.291 krwi;111685252
24.09.2026, 00:10:59;Gawron;Doswiadczenie;164.923.199 / 164.973.420;165.187.368 / 165.203.265;264169
24.09.2026, 00:10:59;Gawron;Sila;2620;2621;1
24.09.2026, 00:10:59;Gawron;Zwinnosc;2410;2411;1
24.09.2026, 00:10:59;Gawron;Wytrzymalosc;2112;2113;1
24.09.2026, 00:10:59;Gawron;Charyzma;1612;1613;1
24.09.2026, 00:10:59;Gawron;Walki;58.371;58.375;4
24.09.2026, 00:10:59;Gawron;Zrabowane dobra;225.856.236.542 krwi;226.151.263.539 krwi;295026997
24.09.2026, 00:10:59;lux;Doswiadczenie;154.903.824 / 154.907.345;154.907.593 / 154.963.010;3769
24.09.2026, 00:10:59;lux;Walki;108.936;108.939;3
24.09.2026, 00:10:59;lux;Zrabowane dobra;215.732.227.739 krwi;215.737.072.099 krwi;4844360
24.09.2026, 00:11:00;XTurek;Doswiadczenie;629.225.494 / 629.228.835;629.292.207 / 629.341.020;66713
24.09.2026, 00:11:00;XTurek;Zrabowane dobra;1.050.762.348.611 mięsa;1.050.852.867.882 mięsa;90519271
24.09.2026, 00:11:01;Viktor;Doswiadczenie;160.676.835 / 160.693.470;160.676.839 / 160.693.470;4
24.09.2026, 00:11:01;Viktor;Walki;53.012;53.015;3
24.09.2026, 00:11:02;PEON;Doswiadczenie;199.253.152 / 199.276.155;199.259.489 / 199.276.155;6337
24.09.2026, 00:11:02;PEON;Zrabowane dobra;342.309.698.431 mięsa;342.310.996.775 mięsa;1298344
24.09.2026, 02:29:59;Brahmaparuss;Walki;99.842;99.844;2
24.09.2026, 02:30:00;Gawron;Doswiadczenie;165.187.368 / 165.203.265;165.193.116 / 165.203.265;5748
24.09.2026, 02:30:06;Viktor;Doswiadczenie;160.676.839 / 160.693.470;160.676.844 / 160.693.470;5
24.09.2026, 02:30:06;Viktor;Walki;53.015;53.017;2
24.09.2026, 02:30:07;PEON;Doswiadczenie;199.259.489 / 199.276.155;199.265.538 / 199.276.155;6049
24.09.2026, 07:15:09;Brahmaparuss;Doswiadczenie;297.641.061 / 297.690.995;297.934.478 / 297.999.720;293417
24.09.2026, 07:15:09;Brahmaparuss;Zwinnosc;3680;3681;1
24.09.2026, 07:15:09;Brahmaparuss;Walki;99.844;99.849;5
24.09.2026, 07:15:09;Brahmaparuss;Zrabowane dobra;382.490.175.291 krwi;382.757.724.004 krwi;267548713
24.09.2026, 07:15:10;Gawron;Doswiadczenie;165.193.116 / 165.203.265;165.589.401 / 165.605.880;396285
24.09.2026, 07:15:10;Gawron;Sila;2621;2622;1
24.09.2026, 07:15:10;Gawron;Zwinnosc;2411;2412;1
24.09.2026, 07:15:10;Gawron;Wytrzymalosc;2113;2114;1
24.09.2026, 07:15:10;Gawron;Walki;58.375;58.376;1
24.09.2026, 07:15:10;Gawron;Zrabowane dobra;226.151.263.539 krwi;226.456.070.146 krwi;304806607
24.09.2026, 07:15:11;lux;Doswiadczenie;154.907.593 / 154.963.010;155.177.575 / 155.185.775;269982
24.09.2026, 07:15:11;lux;Zwinnosc;2255;2257;2
24.09.2026, 07:15:11;lux;Walki;108.939;108.946;7
24.09.2026, 07:15:11;lux;Zrabowane dobra;215.737.072.099 krwi;215.921.260.501 krwi;184188402
24.09.2026, 07:15:11;XTurek;Doswiadczenie;629.292.207 / 629.341.020;629.939.656 / 630.014.350;647449
24.09.2026, 07:15:11;XTurek;Zwinnosc;4031;4032;1
24.09.2026, 07:15:11;XTurek;Zrabowane dobra;1.050.852.867.882 mięsa;1.051.422.492.141 mięsa;569624259
24.09.2026, 07:15:12;Viktor;Doswiadczenie;160.676.844 / 160.693.470;160.676.852 / 160.693.470;8
24.09.2026, 07:15:12;Viktor;Walki;53.017;53.021;4
24.09.2026, 07:15:13;PEON;Doswiadczenie;199.265.538 / 199.276.155;199.271.803 / 199.276.155;6265
24.09.2026, 07:15:13;PEON;Walki;31.172;31.173;1
24.09.2026, 07:15:13;PEON;Zrabowane dobra;342.310.996.775 mięsa;342.311.970.530 mięsa;973755
