Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
10.06.2026, 00:55:19;Brahmaparuss;Doswiadczenie;175.134.527 / 175.178.720;175.304.133 / 175.356.340;169606
10.06.2026, 00:55:19;Brahmaparuss;Obrona;3657;3658;1
10.06.2026, 00:55:19;Brahmaparuss;Wytrzymalosc;3251;3252;1
10.06.2026, 00:55:19;Brahmaparuss;Walki;95.741;95.751;10
10.06.2026, 00:55:19;Brahmaparuss;Zrabowane dobra;268.083.133.761 krwi;268.245.585.865 krwi;162452104
10.06.2026, 00:55:20;lux;Doswiadczenie;106.037.309 / 106.080.785;106.109.640 / 106.126.850;72331
10.06.2026, 00:55:20;lux;Zwinnosc;2109;2110;1
10.06.2026, 00:55:20;lux;Walki;104.491;104.501;10
10.06.2026, 00:55:20;lux;Zrabowane dobra;173.119.118.236 krwi;173.172.627.559 krwi;53509323
10.06.2026, 00:55:21;XTurek;Doswiadczenie;373.644.104 / 373.688.770;373.741.862 / 373.775.225;97758
10.06.2026, 00:55:21;XTurek;Zrabowane dobra;783.561.098.626 mięsa;783.661.409.832 mięsa;100311206
10.06.2026, 00:55:22;PEON;Doswiadczenie;145.267.239 / 145.319.795;145.268.713 / 145.319.795;1474
10.06.2026, 02:09:41;Brahmaparuss;Doswiadczenie;175.304.133 / 175.356.340;175.341.670 / 175.356.340;37537
10.06.2026, 02:09:41;Brahmaparuss;Zrabowane dobra;268.245.585.865 krwi;268.270.421.138 krwi;24835273
10.06.2026, 02:09:41;Gawron;Doswiadczenie;117.001.738 / 117.036.055;117.006.576 / 117.036.055;4838
10.06.2026, 06:46:33;Brahmaparuss;Doswiadczenie;175.341.670 / 175.356.340;175.633.288 / 175.652.570;291618
10.06.2026, 06:46:33;Brahmaparuss;Zwinnosc;3482;3484;2
10.06.2026, 06:46:33;Brahmaparuss;Walki;95.751;95.759;8
10.06.2026, 06:46:33;Brahmaparuss;Zrabowane dobra;268.270.421.138 krwi;268.519.798.441 krwi;249377303
10.06.2026, 06:46:35;lux;Doswiadczenie;106.109.640 / 106.126.850;106.114.247 / 106.126.850;4607
