Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
17.08.2026, 00:24:44;lux;Doswiadczenie;136.029.730 / 136.038.495;136.055.402 / 136.090.660;25672
17.08.2026, 00:24:44;lux;Zrabowane dobra;198.397.050.362 krwi;198.424.681.844 krwi;27631482
17.08.2026, 00:24:45;XTurek;Doswiadczenie;542.850.983 / 542.892.420;542.957.689 / 542.996.625;106706
17.08.2026, 00:24:45;XTurek;Zrabowane dobra;957.386.569.562 mięsa;957.494.533.242 mięsa;107963680
17.08.2026, 00:24:46;PEON;Doswiadczenie;170.553.100 / 170.592.245;170.580.480 / 170.592.245;27380
17.08.2026, 00:24:46;PEON;Wytrzymalosc;3070;3071;1
17.08.2026, 00:24:46;PEON;Zrabowane dobra;318.252.820.568 mięsa;318.277.106.190 mięsa;24285622
17.08.2026, 00:44:18;Brahmaparuss;Doswiadczenie;261.525.440 / 261.588.675;261.525.444 / 261.588.675;4
17.08.2026, 00:44:18;Brahmaparuss;Walki;98.665;98.666;1
17.08.2026, 00:44:20;lux;Doswiadczenie;136.055.402 / 136.090.660;136.057.194 / 136.090.660;1792
17.08.2026, 00:44:20;lux;Zrabowane dobra;198.424.681.844 krwi;198.431.811.160 krwi;7129316
17.08.2026, 00:44:22;Viktor;Doswiadczenie;155.911.305 / 155.966.710;155.911.311 / 155.966.710;6
17.08.2026, 00:44:22;Viktor;Walki;51.617;51.618;1
17.08.2026, 00:58:46;Gawron;Doswiadczenie;147.499.229 / 147.538.550;147.504.661 / 147.538.550;5432
17.08.2026, 00:58:48;XTurek;Doswiadczenie;542.957.689 / 542.996.625;542.978.548 / 542.996.625;20859
17.08.2026, 00:58:48;XTurek;Zrabowane dobra;957.494.533.242 mięsa;957.508.028.910 mięsa;13495668
17.08.2026, 01:24:49;XTurek;Doswiadczenie;542.978.548 / 542.996.625;543.055.010 / 543.100.840;76462
17.08.2026, 01:24:49;XTurek;Zrabowane dobra;957.508.028.910 mięsa;957.589.029.186 mięsa;81000276
17.08.2026, 01:56:29;XTurek;Doswiadczenie;543.055.010 / 543.100.840;543.085.097 / 543.100.840;30087
17.08.2026, 01:56:29;XTurek;Zrabowane dobra;957.589.029.186 mięsa;957.615.666.398 mięsa;26637212
17.08.2026, 03:11:20;Brahmaparuss;Doswiadczenie;261.525.444 / 261.588.675;261.717.899 / 261.733.360;192455
17.08.2026, 03:11:20;Brahmaparuss;Obrona;3956;3957;1
17.08.2026, 03:11:20;Brahmaparuss;Walki;98.666;98.667;1
17.08.2026, 03:11:20;Brahmaparuss;Zrabowane dobra;347.960.525.899 krwi;348.150.318.521 krwi;189792622
17.08.2026, 03:11:22;XTurek;Doswiadczenie;543.085.097 / 543.100.840;543.210.263 / 543.309.300;125166
17.08.2026, 03:11:22;XTurek;Sila;4507;4508;1
17.08.2026, 03:11:22;XTurek;Zrabowane dobra;957.615.666.398 mięsa;957.732.163.682 mięsa;116497284
17.08.2026, 03:11:23;Viktor;Doswiadczenie;155.911.311 / 155.966.710;155.916.896 / 155.966.710;5585
17.08.2026, 03:11:24;PEON;Doswiadczenie;170.580.480 / 170.592.245;170.586.321 / 170.592.245;5841
17.08.2026, 04:33:48;lux;Doswiadczenie;136.057.194 / 136.090.660;136.062.411 / 136.090.660;5217
17.08.2026, 04:33:49;XTurek;Doswiadczenie;543.210.263 / 543.309.300;543.369.768 / 543.413.550;159505
17.08.2026, 04:33:49;XTurek;Zrabowane dobra;957.732.163.682 mięsa;957.874.383.944 mięsa;142220262
17.08.2026, 05:29:32;Brahmaparuss;Doswiadczenie;261.717.899 / 261.733.360;261.721.856 / 261.733.360;3957
17.08.2026, 05:29:34;XTurek;Doswiadczenie;543.369.768 / 543.413.550;543.535.028 / 543.622.070;165260
17.08.2026, 05:29:34;XTurek;Sila;4508;4509;1
17.08.2026, 05:29:34;XTurek;Zrabowane dobra;957.874.383.944 mięsa;958.088.104.773 mięsa;213720829
17.08.2026, 05:29:35;Viktor;Doswiadczenie;155.916.896 / 155.966.710;155.916.898 / 155.966.710;2
17.08.2026, 05:29:35;Viktor;Walki;51.618;51.619;1
17.08.2026, 06:20:29;Brahmaparuss;Doswiadczenie;261.721.856 / 261.733.360;261.900.755 / 261.950.455;178899
17.08.2026, 06:20:29;Brahmaparuss;Walki;98.667;98.669;2
17.08.2026, 06:20:29;Brahmaparuss;Zrabowane dobra;348.150.318.521 krwi;348.322.467.812 krwi;172149291
17.08.2026, 06:20:30;Gawron;Doswiadczenie;147.504.661 / 147.538.550;147.541.332 / 147.592.875;36671
17.08.2026, 06:20:30;Gawron;Zrabowane dobra;209.549.927.605 krwi;209.573.919.548 krwi;23991943
17.08.2026, 06:20:32;Viktor;Doswiadczenie;155.916.898 / 155.966.710;155.919.674 / 155.966.710;2776
17.08.2026, 06:20:32;Viktor;Walki;51.619;51.622;3
17.08.2026, 06:20:32;Viktor;Zrabowane dobra;259.890.216.041 krwi;259.899.697.201 krwi;9481160
17.08.2026, 06:20:33;PEON;Doswiadczenie;170.586.321 / 170.592.245;170.668.463 / 170.709.085;82142
17.08.2026, 06:20:33;PEON;Walki;30.936;30.937;1
17.08.2026, 06:20:33;PEON;Zrabowane dobra;318.277.106.190 mięsa;318.341.743.512 mięsa;64637322
17.08.2026, 07:02:44;Brahmaparuss;Doswiadczenie;261.900.755 / 261.950.455;261.962.378 / 262.022.840;61623
17.08.2026, 07:02:44;Brahmaparuss;Zwinnosc;3598;3599;1
17.08.2026, 07:02:44;Brahmaparuss;Zrabowane dobra;348.322.467.812 krwi;348.382.534.256 krwi;60066444
