Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
20.08.2026, 00:30:29;Brahmaparuss;Doswiadczenie;265.201.368 / 265.217.725;265.201.371 / 265.217.725;3
20.08.2026, 00:30:29;Brahmaparuss;Walki;98.772;98.773;1
20.08.2026, 00:30:31;XTurek;Doswiadczenie;551.119.808 / 551.155.500;551.282.103 / 551.365.505;162295
20.08.2026, 00:30:31;XTurek;Zrabowane dobra;965.653.628.850 mięsa;965.844.683.478 mięsa;191054628
20.08.2026, 00:30:32;Viktor;Doswiadczenie;156.006.848 / 156.022.565;156.006.851 / 156.022.565;3
20.08.2026, 00:30:32;Viktor;Walki;51.749;51.750;1
20.08.2026, 01:40:12;Brahmaparuss;Doswiadczenie;265.201.371 / 265.217.725;265.208.654 / 265.217.725;7283
20.08.2026, 01:40:12;Brahmaparuss;Walki;98.773;98.774;1
20.08.2026, 01:40:14;XTurek;Doswiadczenie;551.282.103 / 551.365.505;551.377.775 / 551.470.520;95672
20.08.2026, 01:40:14;XTurek;Zrabowane dobra;965.844.683.478 mięsa;965.923.768.564 mięsa;79085086
20.08.2026, 01:57:07;Gawron;Doswiadczenie;148.970.822 / 149.008.860;148.976.281 / 149.008.860;5459
20.08.2026, 01:57:08;lux;Doswiadczenie;137.173.802 / 137.188.455;137.179.040 / 137.188.455;5238
20.08.2026, 03:16:03;Brahmaparuss;Doswiadczenie;265.208.654 / 265.217.725;265.389.914 / 265.436.265;181260
20.08.2026, 03:16:03;Brahmaparuss;Zwinnosc;3603;3604;1
20.08.2026, 03:16:03;Brahmaparuss;Walki;98.774;98.775;1
20.08.2026, 03:16:03;Brahmaparuss;Zrabowane dobra;351.324.574.459 krwi;351.511.140.653 krwi;186566194
20.08.2026, 03:16:04;lux;Doswiadczenie;137.179.040 / 137.188.455;137.213.834 / 137.240.840;34794
20.08.2026, 03:16:04;lux;Zrabowane dobra;199.287.804.037 krwi;199.310.415.223 krwi;22611186
20.08.2026, 03:16:05;XTurek;Doswiadczenie;551.377.775 / 551.470.520;551.587.056 / 551.680.580;209281
20.08.2026, 03:16:05;XTurek;Zrabowane dobra;965.923.768.564 mięsa;966.130.897.643 mięsa;207129079
20.08.2026, 03:16:06;Viktor;Doswiadczenie;156.006.851 / 156.022.565;156.006.852 / 156.022.565;1
20.08.2026, 03:16:06;Viktor;Walki;51.750;51.751;1
20.08.2026, 04:31:14;Brahmaparuss;Doswiadczenie;265.389.914 / 265.436.265;265.515.520 / 265.582.005;125606
20.08.2026, 04:31:14;Brahmaparuss;Walki;98.775;98.776;1
20.08.2026, 04:31:14;Brahmaparuss;Zrabowane dobra;351.511.140.653 krwi;351.664.457.226 krwi;153316573
20.08.2026, 04:31:16;XTurek;Doswiadczenie;551.587.056 / 551.680.580;551.653.075 / 551.680.580;66019
20.08.2026, 04:31:16;XTurek;Zrabowane dobra;966.130.897.643 mięsa;966.238.487.343 mięsa;107589700
20.08.2026, 04:31:18;PEON;Doswiadczenie;173.473.291 / 173.525.295;173.479.182 / 173.525.295;5891
