Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
27.05.2026, 00:08:20;Brahmaparuss;Doswiadczenie;156.306.275 / 156.357.910;156.309.331 / 156.357.910;3056
27.05.2026, 00:08:20;Brahmaparuss;Walki;95.083;95.084;1
27.05.2026, 00:08:21;Gawron;Walki;56.800;56.802;2
27.05.2026, 00:08:22;lux;Doswiadczenie;99.784.603 / 99.819.585;99.785.823 / 99.819.585;1220
27.05.2026, 00:08:22;lux;Walki;103.828;103.829;1
27.05.2026, 00:08:24;Viktor;Doswiadczenie;135.922.025 / 135.934.190;135.937.863 / 135.986.340;15838
27.05.2026, 00:08:24;Viktor;Walki;49.434;49.436;2
27.05.2026, 00:08:24;Viktor;Zrabowane dobra;243.284.509.281 krwi;243.296.462.873 krwi;11953592
27.05.2026, 00:08:25;PEON;Doswiadczenie;144.623.024 / 144.673.580;144.623.768 / 144.673.580;744
27.05.2026, 00:08:25;PEON;Zrabowane dobra;297.533.475.246 mięsa;297.533.500.311 mięsa;25065
