Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
27.05.2026, 00:08:20;Brahmaparuss;Doswiadczenie;156.306.275 / 156.357.910;156.309.331 / 156.357.910;3056
27.05.2026, 00:08:20;Brahmaparuss;Walki;95.083;95.084;1
27.05.2026, 00:08:21;Gawron;Walki;56.800;56.802;2
27.05.2026, 00:08:22;lux;Doswiadczenie;99.784.603 / 99.819.585;99.785.823 / 99.819.585;1220
27.05.2026, 00:08:22;lux;Walki;103.828;103.829;1
27.05.2026, 00:08:24;Viktor;Doswiadczenie;135.922.025 / 135.934.190;135.937.863 / 135.986.340;15838
27.05.2026, 00:08:24;Viktor;Walki;49.434;49.436;2
27.05.2026, 00:08:24;Viktor;Zrabowane dobra;243.284.509.281 krwi;243.296.462.873 krwi;11953592
27.05.2026, 00:08:25;PEON;Doswiadczenie;144.623.024 / 144.673.580;144.623.768 / 144.673.580;744
27.05.2026, 00:08:25;PEON;Zrabowane dobra;297.533.475.246 mięsa;297.533.500.311 mięsa;25065
27.05.2026, 01:21:52;Brahmaparuss;Doswiadczenie;156.309.331 / 156.357.910;156.309.332 / 156.357.910;1
27.05.2026, 01:21:52;Brahmaparuss;Walki;95.084;95.085;1
27.05.2026, 01:21:53;lux;Doswiadczenie;99.785.823 / 99.819.585;99.828.065 / 99.864.270;42242
27.05.2026, 01:21:53;lux;Zrabowane dobra;168.153.701.250 krwi;168.196.978.874 krwi;43277624
27.05.2026, 01:21:55;Viktor;Walki;49.436;49.437;1
27.05.2026, 03:31:07;Brahmaparuss;Doswiadczenie;156.309.332 / 156.357.910;156.397.171 / 156.413.835;87839
27.05.2026, 03:31:07;Brahmaparuss;Wytrzymalosc;3208;3209;1
27.05.2026, 03:31:07;Brahmaparuss;Walki;95.085;95.091;6
27.05.2026, 03:31:07;Brahmaparuss;Zrabowane dobra;251.303.992.061 krwi;251.382.392.711 krwi;78400650
27.05.2026, 03:31:07;Gawron;Doswiadczenie;116.061.980 / 116.070.435;116.066.798 / 116.070.435;4818
27.05.2026, 03:31:09;XTurek;Doswiadczenie;343.994.256 / 344.043.420;343.995.432 / 344.043.420;1176
27.05.2026, 03:31:09;XTurek;Zrabowane dobra;754.084.660.655 mięsa;754.090.697.651 mięsa;6036996
27.05.2026, 03:31:10;Viktor;Doswiadczenie;135.937.863 / 135.986.340;135.991.859 / 136.038.495;53996
27.05.2026, 03:31:10;Viktor;Wytrzymalosc;2389;2390;1
27.05.2026, 03:31:10;Viktor;Zrabowane dobra;243.296.462.873 krwi;243.385.915.769 krwi;89452896
27.05.2026, 03:31:10;PEON;Doswiadczenie;144.623.768 / 144.673.580;144.629.147 / 144.673.580;5379
