Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
22.08.2026, 00:08:19;Brahmaparuss;Doswiadczenie;266.966.236 / 266.968.550;266.973.543 / 267.041.625;7307
22.08.2026, 00:08:21;XTurek;Doswiadczenie;557.283.373 / 557.367.375;557.399.798 / 557.472.960;116425
22.08.2026, 00:08:21;XTurek;Zrabowane dobra;972.620.891.000 mięsa;972.748.749.531 mięsa;127858531
22.08.2026, 00:08:22;Viktor;Doswiadczenie;156.050.882 / 156.078.430;156.050.893 / 156.078.430;11
22.08.2026, 00:08:22;Viktor;Walki;51.871;51.876;5
22.08.2026, 00:08:23;PEON;Doswiadczenie;175.668.334 / 175.711.845;175.693.892 / 175.711.845;25558
22.08.2026, 00:08:23;PEON;Zrabowane dobra;322.489.613.231 mięsa;322.505.616.270 mięsa;16003039
22.08.2026, 00:38:15;Gawron;Walki;57.982;57.983;1
22.08.2026, 00:38:17;Viktor;Doswiadczenie;156.050.893 / 156.078.430;156.052.774 / 156.078.430;1881
22.08.2026, 00:38:18;PEON;Doswiadczenie;175.693.892 / 175.711.845;175.705.888 / 175.711.845;11996
22.08.2026, 00:38:18;PEON;Zrabowane dobra;322.505.616.270 mięsa;322.514.493.590 mięsa;8877320
22.08.2026, 00:58:11;Viktor;Doswiadczenie;156.052.774 / 156.078.430;156.052.886 / 156.078.430;112
22.08.2026, 00:58:11;Viktor;Zrabowane dobra;259.993.828.227 krwi;259.994.306.341 krwi;478114
22.08.2026, 01:27:16;Brahmaparuss;Doswiadczenie;266.973.543 / 267.041.625;266.973.716 / 267.041.625;173
22.08.2026, 01:27:16;Brahmaparuss;Walki;98.861;98.862;1
22.08.2026, 01:27:16;Brahmaparuss;Zrabowane dobra;352.994.423.544 krwi;352.995.041.583 krwi;618039
22.08.2026, 01:27:19;Viktor;Doswiadczenie;156.052.886 / 156.078.430;156.053.138 / 156.078.430;252
22.08.2026, 01:27:19;Viktor;Walki;51.876;51.883;7
22.08.2026, 01:27:19;Viktor;Zrabowane dobra;259.994.306.341 krwi;259.995.330.871 krwi;1024530
22.08.2026, 01:27:20;PEON;Walki;30.962;30.963;1
