Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
01.09.2026, 00:58:01;Brahmaparuss;Doswiadczenie;274.708.243 / 274.770.255;274.956.681 / 274.992.695;248438
01.09.2026, 00:58:01;Brahmaparuss;Walki;99.161;99.168;7
01.09.2026, 00:58:01;Brahmaparuss;Zrabowane dobra;360.016.074.977 krwi;360.243.371.272 krwi;227296295
01.09.2026, 00:58:02;Gawron;Doswiadczenie;150.134.297 / 150.157.480;150.136.038 / 150.157.480;1741
01.09.2026, 00:58:02;Gawron;Zwinnosc;2355;2356;1
01.09.2026, 00:58:02;Gawron;Wytrzymalosc;2086;2087;1
01.09.2026, 00:58:02;Gawron;Walki;58.065;58.068;3
01.09.2026, 00:58:02;Gawron;Zrabowane dobra;211.823.598.274 krwi;211.830.639.827 krwi;7041553
01.09.2026, 00:58:03;lux;Walki;108.057;108.059;2
01.09.2026, 00:58:04;XTurek;Doswiadczenie;586.201.398 / 586.238.745;586.728.317 / 586.780.275;526919
01.09.2026, 00:58:04;XTurek;Wytrzymalosc;3955;3956;1
01.09.2026, 00:58:04;XTurek;Zrabowane dobra;1.002.044.612.637 mięsa;1.002.570.852.991 mięsa;526240354
01.09.2026, 00:58:04;Viktor;Walki;52.205;52.208;3
01.09.2026, 00:58:05;PEON;Doswiadczenie;182.925.603 / 182.958.050;183.132.885 / 183.139.570;207282
01.09.2026, 00:58:05;PEON;Charyzma;1961;1963;2
01.09.2026, 00:58:05;PEON;Zrabowane dobra;328.066.737.469 mięsa;328.225.626.336 mięsa;158888867
01.09.2026, 03:43:04;Brahmaparuss;Doswiadczenie;274.956.681 / 274.992.695;275.129.751 / 275.141.035;173070
01.09.2026, 03:43:05;Brahmaparuss;Zrabowane dobra;360.243.371.272 krwi;360.395.267.957 krwi;151896685
01.09.2026, 03:43:05;Gawron;Doswiadczenie;150.136.038 / 150.157.480;150.141.518 / 150.157.480;5480
01.09.2026, 03:43:07;XTurek;Doswiadczenie;586.728.317 / 586.780.275;587.044.749 / 587.105.315;316432
01.09.2026, 03:43:07;XTurek;Wytrzymalosc;3956;3957;1
01.09.2026, 03:43:07;XTurek;Zrabowane dobra;1.002.570.852.991 mięsa;1.002.918.722.575 mięsa;347869584
01.09.2026, 03:43:09;PEON;Doswiadczenie;183.132.885 / 183.139.570;183.138.937 / 183.139.570;6052
01.09.2026, 08:46:35;Brahmaparuss;Doswiadczenie;275.129.751 / 275.141.035;275.318.728 / 275.363.625;188977
01.09.2026, 08:46:35;Brahmaparuss;Walki;99.168;99.177;9
01.09.2026, 08:46:35;Brahmaparuss;Zrabowane dobra;360.395.267.957 krwi;360.568.849.152 krwi;173581195
01.09.2026, 08:46:36;Gawron;Walki;58.068;58.070;2
01.09.2026, 08:46:37;lux;Doswiadczenie;140.185.904 / 140.190.420;140.289.889 / 140.296.340;103985
01.09.2026, 08:46:37;lux;Sila;2424;2425;1
01.09.2026, 08:46:37;lux;Walki;108.059;108.076;17
01.09.2026, 08:46:37;lux;Zrabowane dobra;202.036.990.498 krwi;202.146.814.194 krwi;109823696
01.09.2026, 08:46:38;XTurek;Doswiadczenie;587.044.749 / 587.105.315;587.821.105 / 587.864.085;776356
01.09.2026, 08:46:38;XTurek;Wytrzymalosc;3957;3959;2
01.09.2026, 08:46:38;XTurek;Zrabowane dobra;1.002.918.722.575 mięsa;1.003.710.063.348 mięsa;791340773
01.09.2026, 08:46:39;Viktor;Doswiadczenie;158.113.665 / 158.152.500;158.113.873 / 158.152.500;208
01.09.2026, 08:46:39;Viktor;Walki;52.208;52.210;2
01.09.2026, 08:46:39;Viktor;Zrabowane dobra;262.080.190.692 krwi;262.081.078.072 krwi;887380
01.09.2026, 08:46:40;PEON;Doswiadczenie;183.138.937 / 183.139.570;183.267.671 / 183.321.180;128734
01.09.2026, 08:46:40;PEON;Walki;31.005;31.007;2
01.09.2026, 08:46:40;PEON;Zrabowane dobra;328.225.626.336 mięsa;328.321.374.635 mięsa;95748299
