Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
13.05.2026, 00:03:58;Brahmaparuss;Doswiadczenie;139.162.413 / 139.186.155;139.242.152 / 139.291.695;79739
13.05.2026, 00:03:58;Brahmaparuss;Sila;3872;3877;5
13.05.2026, 00:03:58;Brahmaparuss;Walki;94.543;94.546;3
13.05.2026, 00:03:58;Brahmaparuss;Zrabowane dobra;237.336.084.422 krwi;237.397.870.277 krwi;61785855
13.05.2026, 00:03:59;Gawron;Walki;56.639;56.640;1
13.05.2026, 00:04:00;lux;Doswiadczenie;93.205.235 / 93.229.935;93.273.720 / 93.316.320;68485
13.05.2026, 00:04:00;lux;Zrabowane dobra;162.948.718.316 krwi;162.996.928.110 krwi;48209794
13.05.2026, 00:04:00;XTurek;Doswiadczenie;318.500.804 / 318.569.600;318.662.441 / 318.729.260;161637
13.05.2026, 00:04:00;XTurek;Wytrzymalosc;3624;3629;5
13.05.2026, 00:04:00;XTurek;Zrabowane dobra;729.244.001.297 mięsa;729.385.633.943 mięsa;141632646
13.05.2026, 00:04:01;Viktor;Walki;49.066;49.067;1
13.05.2026, 00:04:02;PEON;Doswiadczenie;144.019.221 / 144.028.810;144.021.423 / 144.028.810;2202
13.05.2026, 01:13:55;Brahmaparuss;Doswiadczenie;139.242.152 / 139.291.695;139.278.529 / 139.291.695;36377
13.05.2026, 01:13:55;Brahmaparuss;Sila;3877;3880;3
13.05.2026, 01:13:55;Brahmaparuss;Walki;94.546;94.548;2
13.05.2026, 01:13:55;Brahmaparuss;Zrabowane dobra;237.397.870.277 krwi;237.430.356.448 krwi;32486171
13.05.2026, 01:13:56;lux;Doswiadczenie;93.273.720 / 93.316.320;93.278.101 / 93.316.320;4381
13.05.2026, 01:13:56;lux;Wytrzymalosc;2482;2483;1
13.05.2026, 01:13:56;lux;Zrabowane dobra;162.996.928.110 krwi;163.021.456.929 krwi;24528819
13.05.2026, 01:13:57;XTurek;Wytrzymalosc;3629;3630;1
13.05.2026, 02:14:34;XTurek;Doswiadczenie;318.662.441 / 318.729.260;318.679.020 / 318.729.260;16579
13.05.2026, 02:14:34;XTurek;Zrabowane dobra;729.385.633.943 mięsa;729.438.526.982 mięsa;52893039
