Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
13.05.2026, 00:03:58;Brahmaparuss;Doswiadczenie;139.162.413 / 139.186.155;139.242.152 / 139.291.695;79739
13.05.2026, 00:03:58;Brahmaparuss;Sila;3872;3877;5
13.05.2026, 00:03:58;Brahmaparuss;Walki;94.543;94.546;3
13.05.2026, 00:03:58;Brahmaparuss;Zrabowane dobra;237.336.084.422 krwi;237.397.870.277 krwi;61785855
13.05.2026, 00:03:59;Gawron;Walki;56.639;56.640;1
13.05.2026, 00:04:00;lux;Doswiadczenie;93.205.235 / 93.229.935;93.273.720 / 93.316.320;68485
13.05.2026, 00:04:00;lux;Zrabowane dobra;162.948.718.316 krwi;162.996.928.110 krwi;48209794
13.05.2026, 00:04:00;XTurek;Doswiadczenie;318.500.804 / 318.569.600;318.662.441 / 318.729.260;161637
13.05.2026, 00:04:00;XTurek;Wytrzymalosc;3624;3629;5
13.05.2026, 00:04:00;XTurek;Zrabowane dobra;729.244.001.297 mięsa;729.385.633.943 mięsa;141632646
13.05.2026, 00:04:01;Viktor;Walki;49.066;49.067;1
13.05.2026, 00:04:02;PEON;Doswiadczenie;144.019.221 / 144.028.810;144.021.423 / 144.028.810;2202
13.05.2026, 01:13:55;Brahmaparuss;Doswiadczenie;139.242.152 / 139.291.695;139.278.529 / 139.291.695;36377
13.05.2026, 01:13:55;Brahmaparuss;Sila;3877;3880;3
13.05.2026, 01:13:55;Brahmaparuss;Walki;94.546;94.548;2
13.05.2026, 01:13:55;Brahmaparuss;Zrabowane dobra;237.397.870.277 krwi;237.430.356.448 krwi;32486171
13.05.2026, 01:13:56;lux;Doswiadczenie;93.273.720 / 93.316.320;93.278.101 / 93.316.320;4381
13.05.2026, 01:13:56;lux;Wytrzymalosc;2482;2483;1
13.05.2026, 01:13:56;lux;Zrabowane dobra;162.996.928.110 krwi;163.021.456.929 krwi;24528819
13.05.2026, 01:13:57;XTurek;Wytrzymalosc;3629;3630;1
13.05.2026, 02:14:34;XTurek;Doswiadczenie;318.662.441 / 318.729.260;318.679.020 / 318.729.260;16579
13.05.2026, 02:14:34;XTurek;Zrabowane dobra;729.385.633.943 mięsa;729.438.526.982 mięsa;52893039
13.05.2026, 06:14:50;Brahmaparuss;Doswiadczenie;139.278.529 / 139.291.695;139.478.786 / 139.502.900;200257
13.05.2026, 06:14:50;Brahmaparuss;Sila;3880;3882;2
13.05.2026, 06:14:50;Brahmaparuss;Walki;94.548;94.551;3
13.05.2026, 06:14:50;Brahmaparuss;Zrabowane dobra;237.430.356.448 krwi;237.581.616.206 krwi;151259758
13.05.2026, 06:14:51;Gawron;Doswiadczenie;114.000.635 / 114.007.900;114.000.636 / 114.007.900;1
13.05.2026, 06:14:51;Gawron;Walki;56.640;56.641;1
13.05.2026, 06:14:52;lux;Doswiadczenie;93.278.101 / 93.316.320;93.282.421 / 93.316.320;4320
13.05.2026, 06:14:52;XTurek;Doswiadczenie;318.679.020 / 318.729.260;318.948.989 / 318.968.830;269969
13.05.2026, 06:14:52;XTurek;Wytrzymalosc;3630;3632;2
13.05.2026, 06:14:52;XTurek;Zrabowane dobra;729.438.526.982 mięsa;729.706.617.312 mięsa;268090330
13.05.2026, 06:14:53;Viktor;Doswiadczenie;128.555.436 / 128.580.275;128.604.910 / 128.630.990;49474
13.05.2026, 06:14:53;Viktor;Walki;49.067;49.068;1
13.05.2026, 06:14:53;Viktor;Zrabowane dobra;237.399.005.010 krwi;237.430.855.718 krwi;31850708
13.05.2026, 06:14:54;PEON;Doswiadczenie;144.021.423 / 144.028.810;144.026.794 / 144.028.810;5371
13.05.2026, 06:14:54;PEON;Zrabowane dobra;296.521.068.963 mięsa;296.521.080.099 mięsa;11136
13.05.2026, 09:29:31;Brahmaparuss;Doswiadczenie;139.478.786 / 139.502.900;139.636.452 / 139.661.410;157666
13.05.2026, 09:29:31;Brahmaparuss;Walki;94.551;94.554;3
13.05.2026, 09:29:31;Brahmaparuss;Zrabowane dobra;237.581.616.206 krwi;237.690.530.145 krwi;108913939
13.05.2026, 09:29:32;Gawron;Doswiadczenie;114.000.636 / 114.007.900;114.017.740 / 114.055.655;17104
13.05.2026, 09:29:32;Gawron;Zwinnosc;2220;2229;9
13.05.2026, 09:29:32;Gawron;Walki;56.641;56.643;2
13.05.2026, 09:29:32;Gawron;Zrabowane dobra;181.589.630.227 krwi;181.600.333.629 krwi;10703402
13.05.2026, 09:29:33;lux;Doswiadczenie;93.282.421 / 93.316.320;93.444.313 / 93.445.965;161892
13.05.2026, 09:29:33;lux;Obrona;2819;2824;5
13.05.2026, 09:29:33;lux;Wytrzymalosc;2483;2484;1
13.05.2026, 09:29:33;lux;Walki;103.408;103.409;1
13.05.2026, 09:29:33;lux;Zrabowane dobra;163.021.456.929 krwi;163.151.494.184 krwi;130037255
13.05.2026, 09:29:33;XTurek;Doswiadczenie;318.948.989 / 318.968.830;319.233.106 / 319.288.395;284117
13.05.2026, 09:29:33;XTurek;Zrabowane dobra;729.706.617.312 mięsa;729.988.223.557 mięsa;281606245
13.05.2026, 09:29:34;Viktor;Doswiadczenie;128.604.910 / 128.630.990;128.696.608 / 128.732.450;91698
13.05.2026, 09:29:34;Viktor;Wytrzymalosc;2359;2360;1
13.05.2026, 09:29:34;Viktor;Walki;49.068;49.072;4
13.05.2026, 09:29:34;Viktor;Zrabowane dobra;237.430.855.718 krwi;237.505.108.570 krwi;74252852
13.05.2026, 09:29:35;PEON;Doswiadczenie;144.026.794 / 144.028.810;144.033.630 / 144.082.485;6836
13.05.2026, 09:29:35;PEON;Zrabowane dobra;296.521.080.099 mięsa;296.521.082.883 mięsa;2784
13.05.2026, 12:05:42;Brahmaparuss;Doswiadczenie;139.636.452 / 139.661.410;139.685.076 / 139.714.265;48624
13.05.2026, 12:05:42;Brahmaparuss;Walki;94.554;94.556;2
