Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
30.06.2026, 00:34:07;Brahmaparuss;Doswiadczenie;201.008.137 / 201.047.745;201.010.741 / 201.047.745;2604
30.06.2026, 00:34:07;Brahmaparuss;Walki;96.702;96.703;1
30.06.2026, 00:34:09;lux;Doswiadczenie;116.320.538 / 116.359.700;116.363.542 / 116.407.950;43004
30.06.2026, 00:34:09;lux;Obrona;2872;2873;1
30.06.2026, 00:34:09;lux;Walki;105.870;105.871;1
30.06.2026, 00:34:09;lux;Zrabowane dobra;181.376.995.983 krwi;181.435.487.271 krwi;58491288
30.06.2026, 00:34:09;XTurek;Doswiadczenie;420.804.535 / 420.820.550;420.921.511 / 421.004.055;116976
30.06.2026, 00:34:09;XTurek;Zrabowane dobra;831.583.261.116 mięsa;831.697.182.443 mięsa;113921327
30.06.2026, 00:34:10;Viktor;Doswiadczenie;148.572.199 / 148.572.455;148.613.015 / 148.626.970;40816
30.06.2026, 00:34:10;Viktor;Wytrzymalosc;2427;2428;1
30.06.2026, 00:34:10;Viktor;Walki;50.126;50.127;1
30.06.2026, 00:34:10;Viktor;Zrabowane dobra;253.311.866.488 krwi;253.339.127.677 krwi;27261189
30.06.2026, 01:38:26;Gawron;Doswiadczenie;125.336.136 / 125.355.250;125.341.143 / 125.355.250;5007
30.06.2026, 01:38:30;Viktor;Doswiadczenie;148.613.015 / 148.626.970;148.630.763 / 148.681.495;17748
30.06.2026, 01:38:30;Viktor;Zrabowane dobra;253.339.127.677 krwi;253.350.293.418 krwi;11165741
30.06.2026, 03:35:19;XTurek;Doswiadczenie;420.921.511 / 421.004.055;420.930.687 / 421.004.055;9176
30.06.2026, 03:35:20;Viktor;Doswiadczenie;148.630.763 / 148.681.495;148.659.591 / 148.681.495;28828
30.06.2026, 03:35:20;Viktor;Zrabowane dobra;253.350.293.418 krwi;253.368.493.332 krwi;18199914
30.06.2026, 03:35:20;PEON;Doswiadczenie;146.298.704 / 146.345.910;146.304.114 / 146.345.910;5410
30.06.2026, 07:51:51;Brahmaparuss;Doswiadczenie;201.010.741 / 201.047.745;201.280.189 / 201.301.470;269448
30.06.2026, 07:51:51;Brahmaparuss;Obrona;3678;3684;6
30.06.2026, 07:51:51;Brahmaparuss;Walki;96.703;96.715;12
30.06.2026, 07:51:51;Brahmaparuss;Zrabowane dobra;291.730.613.872 krwi;291.980.776.732 krwi;250162860
30.06.2026, 07:51:52;Gawron;Doswiadczenie;125.341.143 / 125.355.250;125.450.134 / 125.455.410;108991
30.06.2026, 07:51:52;Gawron;Zwinnosc;2288;2289;1
30.06.2026, 07:51:52;Gawron;Zrabowane dobra;190.526.755.553 krwi;190.596.430.697 krwi;69675144
30.06.2026, 07:51:52;lux;Doswiadczenie;116.363.542 / 116.407.950;116.476.306 / 116.504.470;112764
30.06.2026, 07:51:52;lux;Sila;2386;2387;1
30.06.2026, 07:51:52;lux;Walki;105.871;105.893;22
30.06.2026, 07:51:52;lux;Zrabowane dobra;181.435.487.271 krwi;181.504.388.514 krwi;68901243
30.06.2026, 07:51:53;XTurek;Doswiadczenie;420.930.687 / 421.004.055;421.478.671 / 421.554.800;547984
30.06.2026, 07:51:53;XTurek;Wytrzymalosc;3736;3738;2
30.06.2026, 07:51:53;XTurek;Charyzma;2836;2843;7
30.06.2026, 07:51:53;XTurek;Zrabowane dobra;831.697.182.443 mięsa;832.256.485.061 mięsa;559302618
30.06.2026, 07:51:54;Viktor;Doswiadczenie;148.659.591 / 148.681.495;148.710.948 / 148.736.030;51357
30.06.2026, 07:51:54;Viktor;Sila;3016;3018;2
30.06.2026, 07:51:54;Viktor;Walki;50.127;50.130;3
30.06.2026, 07:51:54;Viktor;Zrabowane dobra;253.368.493.332 krwi;253.413.579.250 krwi;45085918
30.06.2026, 07:51:55;PEON;Doswiadczenie;146.304.114 / 146.345.910;146.304.266 / 146.345.910;152
