Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
18.08.2026, 00:15:09;XTurek;Doswiadczenie;545.203.994 / 545.291.685;545.222.779 / 545.291.685;18785
18.08.2026, 00:15:09;XTurek;Zrabowane dobra;959.772.799.725 mięsa;959.793.842.301 mięsa;21042576
18.08.2026, 00:43:44;lux;Doswiadczenie;136.419.118 / 136.456.100;136.459.210 / 136.508.350;40092
18.08.2026, 00:43:44;lux;Sila;2415;2416;1
18.08.2026, 00:43:44;lux;Zrabowane dobra;198.707.740.450 krwi;198.746.311.755 krwi;38571305
18.08.2026, 00:43:45;XTurek;Doswiadczenie;545.222.779 / 545.291.685;545.276.972 / 545.291.685;54193
18.08.2026, 00:43:45;XTurek;Zrabowane dobra;959.793.842.301 mięsa;959.825.003.321 mięsa;31161020
18.08.2026, 01:00:50;XTurek;Doswiadczenie;545.276.972 / 545.291.685;545.328.751 / 545.396.120;51779
18.08.2026, 01:00:50;XTurek;Zrabowane dobra;959.825.003.321 mięsa;959.872.753.130 mięsa;47749809
18.08.2026, 01:30:19;Brahmaparuss;Doswiadczenie;263.119.562 / 263.182.380;263.125.511 / 263.182.380;5949
18.08.2026, 01:30:22;XTurek;Doswiadczenie;545.328.751 / 545.396.120;545.330.191 / 545.396.120;1440
18.08.2026, 01:30:22;XTurek;Zrabowane dobra;959.872.753.130 mięsa;959.880.998.390 mięsa;8245260
18.08.2026, 01:30:23;Viktor;Doswiadczenie;155.936.144 / 155.966.710;155.941.729 / 155.966.710;5585
18.08.2026, 01:30:24;PEON;Doswiadczenie;171.534.992 / 171.586.675;171.534.994 / 171.586.675;2
18.08.2026, 01:30:24;PEON;Walki;30.939;30.940;1
18.08.2026, 01:49:41;Brahmaparuss;Doswiadczenie;263.125.511 / 263.182.380;263.212.140 / 263.254.935;86629
18.08.2026, 01:49:41;Brahmaparuss;Walki;98.685;98.686;1
18.08.2026, 01:49:41;Brahmaparuss;Zrabowane dobra;349.460.607.812 krwi;349.529.022.989 krwi;68415177
18.08.2026, 01:49:42;Gawron;Doswiadczenie;147.979.288 / 148.027.845;147.984.729 / 148.027.845;5441
18.08.2026, 01:49:44;XTurek;Doswiadczenie;545.330.191 / 545.396.120;545.380.530 / 545.396.120;50339
18.08.2026, 01:49:44;XTurek;Zrabowane dobra;959.880.998.390 mięsa;959.946.726.943 mięsa;65728553
18.08.2026, 02:22:58;Brahmaparuss;Doswiadczenie;263.212.140 / 263.254.935;263.212.528 / 263.254.935;388
18.08.2026, 02:22:58;Brahmaparuss;Walki;98.686;98.688;2
18.08.2026, 02:22:58;Brahmaparuss;Zrabowane dobra;349.529.022.989 krwi;349.530.461.530 krwi;1438541
18.08.2026, 02:22:59;Gawron;Doswiadczenie;147.984.729 / 148.027.845;147.984.774 / 148.027.845;45
18.08.2026, 02:22:59;Gawron;Walki;57.936;57.939;3
18.08.2026, 02:22:59;Gawron;Zrabowane dobra;209.905.273.833 krwi;209.905.437.288 krwi;163455
18.08.2026, 02:23:00;XTurek;Doswiadczenie;545.380.530 / 545.396.120;545.493.968 / 545.500.570;113438
18.08.2026, 02:23:00;XTurek;Sila;4513;4514;1
18.08.2026, 02:23:00;XTurek;Zrabowane dobra;959.946.726.943 mięsa;960.074.484.401 mięsa;127757458
18.08.2026, 02:23:02;PEON;Doswiadczenie;171.534.994 / 171.586.675;171.535.042 / 171.586.675;48
18.08.2026, 02:23:02;PEON;Zrabowane dobra;319.064.734.392 mięsa;319.064.943.378 mięsa;208986
18.08.2026, 03:55:39;Brahmaparuss;Doswiadczenie;263.212.528 / 263.254.935;263.415.333 / 263.472.660;202805
18.08.2026, 03:55:39;Brahmaparuss;Obrona;3962;3963;1
18.08.2026, 03:55:39;Brahmaparuss;Walki;98.688;98.697;9
18.08.2026, 03:55:39;Brahmaparuss;Zrabowane dobra;349.530.461.530 krwi;349.728.338.789 krwi;197877259
18.08.2026, 03:55:42;XTurek;Doswiadczenie;545.493.968 / 545.500.570;545.633.256 / 545.709.490;139288
18.08.2026, 03:55:42;XTurek;Zrabowane dobra;960.074.484.401 mięsa;960.184.568.330 mięsa;110083929
18.08.2026, 04:52:31;Brahmaparuss;Doswiadczenie;263.415.333 / 263.472.660;263.440.000 / 263.472.660;24667
