Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
24.07.2026, 00:38:16;Brahmaparuss;Doswiadczenie;230.821.012 / 230.866.920;230.821.014 / 230.866.920;2
24.07.2026, 00:38:16;Brahmaparuss;Walki;97.699;97.700;1
24.07.2026, 00:38:18;XTurek;Doswiadczenie;482.074.838 / 482.171.820;482.084.658 / 482.171.820;9820
24.07.2026, 00:38:19;Viktor;Doswiadczenie;154.915.138 / 154.963.010;154.915.140 / 154.963.010;2
24.07.2026, 00:38:19;Viktor;Walki;50.744;50.745;1
24.07.2026, 00:38:20;PEON;Doswiadczenie;154.476.821 / 154.517.960;154.478.093 / 154.517.960;1272
24.07.2026, 00:38:20;PEON;Zrabowane dobra;305.754.170.843 mięsa;305.759.574.935 mięsa;5404092
24.07.2026, 01:35:24;Brahmaparuss;Doswiadczenie;230.821.014 / 230.866.920;230.825.659 / 230.866.920;4645
24.07.2026, 01:35:27;XTurek;Doswiadczenie;482.084.658 / 482.171.820;482.091.400 / 482.171.820;6742
24.07.2026, 01:35:27;XTurek;Wytrzymalosc;3820;3821;1
24.07.2026, 01:35:27;XTurek;Zrabowane dobra;895.044.697.485 mięsa;895.070.825.137 mięsa;26127652
24.07.2026, 01:35:28;Viktor;Doswiadczenie;154.915.140 / 154.963.010;154.920.707 / 154.963.010;5567
