Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
01.06.2026, 00:09:58;Brahmaparuss;Doswiadczenie;162.878.313 / 162.912.025;162.972.183 / 163.026.210;93870
01.06.2026, 00:09:58;Brahmaparuss;Walki;95.339;95.345;6
01.06.2026, 00:09:58;Brahmaparuss;Zrabowane dobra;256.902.475.962 krwi;256.976.552.873 krwi;74076911
01.06.2026, 00:09:59;Gawron;Doswiadczenie;116.278.942 / 116.311.465;116.282.906 / 116.311.465;3964
01.06.2026, 00:09:59;Gawron;Walki;56.859;56.861;2
01.06.2026, 00:10:00;lux;Doswiadczenie;101.914.742 / 101.930.640;101.990.825 / 102.020.960;76083
01.06.2026, 00:10:00;lux;Zwinnosc;2099;2101;2
01.06.2026, 00:10:00;lux;Zrabowane dobra;169.852.025.042 krwi;169.933.118.939 krwi;81093897
01.06.2026, 00:10:03;PEON;Doswiadczenie;144.846.679 / 144.888.825;144.850.360 / 144.888.825;3681
01.06.2026, 01:16:56;Brahmaparuss;Doswiadczenie;162.972.183 / 163.026.210;162.989.063 / 163.026.210;16880
01.06.2026, 01:16:56;Brahmaparuss;Walki;95.345;95.352;7
01.06.2026, 01:16:56;Brahmaparuss;Zrabowane dobra;256.976.552.873 krwi;256.997.813.308 krwi;21260435
01.06.2026, 01:16:57;Gawron;Doswiadczenie;116.282.906 / 116.311.465;116.282.908 / 116.311.465;2
01.06.2026, 01:16:57;Gawron;Walki;56.861;56.862;1
01.06.2026, 01:16:57;lux;Doswiadczenie;101.990.825 / 102.020.960;101.990.827 / 102.020.960;2
01.06.2026, 01:16:57;lux;Walki;103.903;103.904;1
01.06.2026, 01:16:58;XTurek;Doswiadczenie;354.375.835 / 354.406.220;354.384.254 / 354.406.220;8419
01.06.2026, 01:16:59;Viktor;Doswiadczenie;138.220.452 / 138.238.075;138.220.454 / 138.238.075;2
01.06.2026, 01:16:59;Viktor;Walki;49.533;49.534;1
01.06.2026, 01:16:59;PEON;Doswiadczenie;144.850.360 / 144.888.825;144.850.361 / 144.888.825;1
01.06.2026, 01:16:59;PEON;Zrabowane dobra;297.832.929.982 mięsa;297.832.932.767 mięsa;2785
01.06.2026, 02:17:13;Brahmaparuss;Doswiadczenie;162.989.063 / 163.026.210;163.072.566 / 163.083.315;83503
01.06.2026, 02:17:13;Brahmaparuss;Zrabowane dobra;256.997.813.308 krwi;257.059.795.740 krwi;61982432
01.06.2026, 02:17:16;XTurek;Doswiadczenie;354.384.254 / 354.406.220;354.384.678 / 354.406.220;424
01.06.2026, 02:17:16;XTurek;Zrabowane dobra;763.922.527.463 mięsa;763.924.717.476 mięsa;2190013
01.06.2026, 02:17:16;Viktor;Doswiadczenie;138.220.454 / 138.238.075;138.220.558 / 138.238.075;104
01.06.2026, 02:17:16;Viktor;Zrabowane dobra;245.236.815.421 krwi;245.237.245.396 krwi;429975
