Data i godzina;Gracz;Statystyka;Stara wartosc;Nowa wartosc;Przyrost
10.08.2026, 00:16:59;lux;Doswiadczenie;132.827.537 / 132.875.280;132.829.632 / 132.875.280;2095
10.08.2026, 00:16:59;lux;Zrabowane dobra;195.858.273.251 krwi;195.870.583.255 krwi;12310004
10.08.2026, 00:17:01;Viktor;Walki;51.378;51.379;1
10.08.2026, 00:53:29;lux;Doswiadczenie;132.829.632 / 132.875.280;132.868.549 / 132.875.280;38917
10.08.2026, 00:53:29;lux;Wytrzymalosc;2582;2583;1
10.08.2026, 00:53:29;lux;Zrabowane dobra;195.870.583.255 krwi;195.909.879.756 krwi;39296501
10.08.2026, 01:21:12;Brahmaparuss;Doswiadczenie;253.495.363 / 253.550.325;253.495.364 / 253.550.325;1
10.08.2026, 01:21:12;Brahmaparuss;Walki;98.421;98.422;1
10.08.2026, 01:21:15;Viktor;Doswiadczenie;155.330.776 / 155.352.950;155.330.777 / 155.352.950;1
10.08.2026, 01:21:15;Viktor;Walki;51.379;51.380;1
10.08.2026, 01:53:12;Brahmaparuss;Doswiadczenie;253.495.364 / 253.550.325;253.500.239 / 253.550.325;4875
10.08.2026, 01:53:15;Viktor;Doswiadczenie;155.330.777 / 155.352.950;155.336.351 / 155.352.950;5574
10.08.2026, 02:59:25;Brahmaparuss;Doswiadczenie;253.500.239 / 253.550.325;253.539.691 / 253.550.325;39452
10.08.2026, 02:59:25;Brahmaparuss;Zrabowane dobra;340.588.059.207 krwi;340.614.795.300 krwi;26736093
10.08.2026, 02:59:26;Gawron;Doswiadczenie;144.382.126 / 144.404.750;144.387.727 / 144.404.750;5601
10.08.2026, 02:59:26;Gawron;Zrabowane dobra;207.168.099.008 krwi;207.169.063.783 krwi;964775
10.08.2026, 02:59:28;XTurek;Doswiadczenie;523.193.681 / 523.274.730;523.425.847 / 523.479.350;232166
10.08.2026, 02:59:28;XTurek;Sila;4459;4460;1
10.08.2026, 02:59:28;XTurek;Zrabowane dobra;937.663.166.720 mięsa;937.885.503.987 mięsa;222337267
